FID,SMILES,frequency
65,[16*]c1ccc(F)cc1F,3693
66,[10*]N1C(=O)c2ccccc2S1(=O)=O,3657
67,[16*]c1cccc2ccccc12,3626
68,[16*]c1ccc(C)c(C)c1,3516
69,[16*]c1ccc([SH](=O)=O)cc1,3462
70,[16*]c1ccc(Cl)cc1Cl,3447
71,[16*]c1ccc(Cl)c(Cl)c1,3424
72,[11*]SC,3423
73,[16*]c1ccccc1Br,3418
74,[9*]n1cccn1,3393
75,[16*]c1ccc2c3c(cccc13)CC2,3385
76,[14*]c1ccn[nH]1,3381
77,[15*]C1CCOCC1,3338
78,[15*]C1CCOC2(CCCC2)C1,3324
79,[16*]c1ccc(C)cc1C,3291
80,[8*]CC(C)C,3278
81,[1*]C(=O)O,3235
82,[4*]CC(C)C,3181
83,[5*]N1CCc2nc[nH]c2C1,3171
84,[5*]N1CCC2(CC1)NCCO2,3100
85,[1*]C(=O)CCC,3073
86,[5*]N1CCOC12CCNCC2,3070
87,[14*]c1noc2c1CCCC2,3050
88,[14*]c1nnc2n1CCC2,3000
89,[15*]C1CCC12CCC2,2941
90,[14*]c1nc2ccsc2c(=O)[nH]1,2916
91,[5*]NC1=NCCS1,2835
92,[5*]N1CCC1,2822
93,[4*]C(C)C=O,2818
94,[14*]c1nccs1,2805
95,[16*]c1ccc(F)c(F)c1,2732
96,[14*]c1ncnc2nc[nH]c12,2712
97,[5*]NC(N)=NC,2671
98,[15*]C1CCC12CCOCC2,2649
99,[16*]c1ccc2ccccc2c1,2554
100,[5*]N1CCC2(CCC2)C1,2540
101,[15*]C1CCC12CCCC2,2527
102,[16*]c1cn[nH]c1,2515
103,[10*]N1C(=O)c2cccc3cccc(c23)C1=O,2503
104,[16*]c1c[nH]c2ccccc12,2488
105,[9*]n1ncc(=O)c2ccccc21,2454
106,[5*]N1CCCNCC1,2415
107,[14*]c1cc[nH]n1,2392
108,[16*]c1cc(C)ccc1C,2391
109,[3*]OC(F)(F)F,2387
110,[15*]C1CNC1,2364
111,[15*]C1CCCC1=O,2348
112,[9*]n1ncc2c(=O)[nH]cnc21,2324
113,[10*]N1CC2=C(CNC(=O)N2C)C1=O,2293
114,[15*]C1CCC2(CC1)OCCO2,2283
115,[16*]c1cc(C)cc(C)c1,2260
116,[16*]c1ccc(O)cc1,2252
117,[8*]CN,2249
118,[5*]N1CCCCCC1,2214
119,[14*]c1nc2c(s1)CCC2,2204
120,[13*]C1SCCS1,2198
121,[14*]c1ncnc2[nH]ncc12,2196
122,[14*]c1cscn1,2182
123,[14*]c1nc2[nH]ncc2c(=O)[nH]1,2162
124,[16*]c1cccc([SH](=O)=O)c1,2158
125,[13*]C1CCCCN1,2152
126,[16*]c1c(F)cccc1F,2116
127,[5*]N1CC[C@@H](C2CC2)C1,2115
128,[16*]c1ccccc1O,2076
129,[15*]C1CCCC2OCCC12,2057
130,[5*]N1CC2CCC(C1)O2,2027
131,[16*]c1ccc2[nH]c(=O)c(=O)[nH]c2c1,2025
132,[14*]c1ncnc2c1CCC2,2001
133,[14*]c1n[nH]c2c1CCCCC2,1974
134,[15*][C@@H]1CCCNC1,1974
135,[16*]c1cccc(C)c1C,1962
136,[16*]c1ccc(C#N)cc1,1945
137,[16*]c1ccsc1,1940
138,[14*]c1c[nH]c(=O)[nH]1,1928
139,[15*][C@H]1CCCNC1,1919
140,[5*]NC(N)=S,1915
141,[16*]c1cnn2c1CCCC2,1898
142,[4*]CCO,1885
143,[16*]c1cc2c([nH]c1=O)CCCC2=O,1841
144,[5*]N1CCN(C)CC1,1839
145,[1*]C(=O)C(C)C,1825
146,[16*]c1ccc2c(c1)OCO2,1811
147,[14*]c1nc2ccccc2[nH]1,1808
148,[9*]n1cc[nH]c1=O,1795
149,[16*]c1cc(F)ccc1F,1785
150,[4*]CCC=O,1770
151,[12*]S(=O)(=O)c1ccc(C)cc1,1762
152,[5*]N1CCC(C)CC1,1744
153,[8*]CC(=O)O,1733
154,[14*]c1ccc2nncn2n1,1716
155,[8*]CCO,1713
156,[14*]c1ncc2c(n1)CCC2,1704
157,[7*]=C1SC(N)=NC1=O,1696
158,[13*]C1OCCCO1,1691
159,[5*]N1CCc2oncc2C1,1670
160,[15*]C12CC3CC(CC(C3)C1)C2,1667
