FID,SMILES,frequency
141,[16*]c1cnn2c1CCCC2,1898
142,[4*]CCO,1885
143,[16*]c1cc2c([nH]c1=O)CCCC2=O,1841
144,[5*]N1CCN(C)CC1,1839
145,[1*]C(=O)C(C)C,1825
146,[16*]c1ccc2c(c1)OCO2,1811
147,[14*]c1nc2ccccc2[nH]1,1808
148,[9*]n1cc[nH]c1=O,1795
149,[16*]c1cc(F)ccc1F,1785
150,[4*]CCC=O,1770
151,[12*]S(=O)(=O)c1ccc(C)cc1,1762
152,[5*]N1CCC(C)CC1,1744
153,[8*]CC(=O)O,1733
154,[14*]c1ccc2nncn2n1,1716
155,[8*]CCO,1713
156,[14*]c1ncc2c(n1)CCC2,1704
157,[7*]=C1SC(N)=NC1=O,1696
158,[13*]C1OCCCO1,1691
159,[5*]N1CCc2oncc2C1,1670
160,[15*]C12CC3CC(CC(C3)C1)C2,1667
161,[16*]c1cc(F)cc(F)c1,1662
162,[5*]N1CCC2(CC(=O)c3ccccc3O2)C1,1659
163,[15*]C1CNC(=O)C1,1658
164,[4*]CC(F)(F)F,1650
165,[15*]C1C(=O)c2ccccc2C1=O,1643
166,[16*]c1c(Cl)cccc1Cl,1640
167,[14*]c1ncnc2sc3c(c12)CCC3,1631
168,[8*]CCCC,1623
169,[14*]c1ncccn1,1614
170,[16*]c1cc2c([nH]c1=O)CC(C)(C)CC2=O,1608
171,[16*]c1ccc(F)c(Cl)c1,1607
172,[16*]c1c2ccccc2nc2ccccc12,1601
173,[4*][C@@H](C)C=O,1595
174,[5*]N1CC2(CCCCC2)C1,1585
175,[4*][C@H](C)C=O,1576
176,[16*]c1ccnc2cc(Br)cnc12,1573
177,[14*]c1nc2c([nH]1)CNCC2,1570
178,[5*]N1CCc2ccccc2C1,1570
179,[13*]C1CCCO1,1564
180,[5*]N1Cc2cncnc2C1,1551
181,[14*]c1nc2sc3c(c2c(=O)[nH]1)CCC3,1550
182,[5*]N1CCC2(CC2)C1,1542
183,[4*]CC(=O)O,1534
184,[10*]N1CC2=C(CNC(=O)N2)C1=O,1530
185,[13*]C1NC(=O)NC(=O)C1C#N,1524
186,[4*]CC=C,1521
187,[7*]=C1N=C(C)OC1=O,1513
188,[15*]C1CCCCCC1,1498
189,[14*]c1noc2c1CNCC2,1496
190,[14*]c1nnc2cccnn12,1496
191,[14*]c1ncc2c(n1)CNC2,1490
192,[15*]C1CC2(CCNC2)C1,1481
193,[8*]C(C)O,1474
194,[16*]c1cc(Cl)cc(Cl)c1,1471
195,[7*]=C(C)C,1459
196,[9*]n1ccnc1,1457
197,[16*]c1c(F)cccc1Cl,1449
198,[14*]c1cnon1,1447
199,[16*]c1cnn(C)c1,1440
200,[14*]c1nsc2ccccc12,1421
201,[5*]N1CCOC2CCCC21,1420
202,[5*]N1CCC2(CCCCC2)C1,1404
203,[15*][C@@H]1CCNC1,1395
204,[14*]c1cnc2cnccn12,1392
205,[10*]N1C(=O)COC1=O,1389
206,[14*]c1nc2ccncc2[nH]1,1386
207,[5*]N1CC=C(c2c[nH]c3ccccc23)CC1,1376
208,[9*]n1c(=O)c(=O)[nH]c2ccccc21,1366
209,[9*]n1[nH]c(=O)c2ccccc2c1=O,1353
210,[8*]CC=C,1350
211,[15*]C1CC12CCCCC2,1346
212,[16*]c1ccc([N+](=O)[O-])cc1,1336
213,[8*]C[SH](=O)=O,1335
214,[15*][C@H]1CCNC1,1327
215,[14*]c1nncc(=O)[nH]1,1326
216,[9*]n1nnc2ccccc2c1=O,1321
217,[14*]c1ccc(C)o1,1317
218,[14*]c1cc2n(n1)CCCC2,1315
219,[14*]c1n[nH]c2ccncc12,1313
220,[4*]CCCC,1311
221,[9*]n1ncc2cncnc21,1290
222,[9*]n1cc2c(n1)CSC2,1288
223,[14*]c1[nH]nc2c1CSC2,1286
224,[13*][C@H]1CCCN1,1278
225,[16*]c1ccc2c(c1)S(=O)(=O)NC2=O,1269
226,[14*]c1ncc[nH]1,1254
227,[16*]c1c(C)cccc1C,1254
228,[5*]N1CC[C@@H]2CNC[C@@H]21,1252
229,[15*]C1CCC2(CC1)CC2,1249
230,[13*][C@@H]1CCCN1,1248
231,[14*]c1ccncn1,1245
232,[14*]c1nnc[nH]c1=O,1239
233,[5*]N1CCc2ncccc2C1,1235
234,[16*]c1c[nH]c2nc(C)ccc2c1=O,1235
235,[8*]CCl,1231
236,[16*]c1c(C)cc(C)cc1C,1228
237,[14*]c1nc2cccnc2s1,1223
238,[15*][C@@H]1CNC[C@@H]1C1CC1,1223
239,[14*]c1cc2n(n1)CCNC2=O,1219
240,[16*]c1ccc(C)c(Cl)c1,1207
241,[14*]c1nccn2ccnc12,1200
242,[14*]c1nc2cnccc2[nH]1,1195
243,[5*]N1CCN(C2=NC(=O)CS2)CC1,1194
244,[16*]c1cc2c([nH]c1=O)CCCC2,1183
245,[14*]c1nccn2nccc12,1174
246,[7*]=C1SC(N2CCNCC2)=NC1=O,1173
247,[16*]c1ccc(F)cc1Cl,1163
248,[14*]c1ccc2nccnc2n1,1159
249,[16*]c1cccc(C#N)c1,1157
250,[16*]c1cc(Cl)ccc1Cl,1140
251,[8*]C(C)C=O,1138
252,[9*]n1cc[nH]c(=O)c1=O,1137
253,[15*]C1C(C#N)=COC(N)=C1C#N,1135
254,[14*]c1cc2cnccn2n1,1135
255,[16*]c1cc2cccnc2[nH]c1=O,1134
256,[14*]c1ncn[nH]1,1130
257,[5*]N1CCO[C@H]2CCC[C@@H]21,1126
258,[15*]C1CC2(CCC2)C1,1122
259,[14*]c1ncnc2ccsc12,1115
260,[3*]OC(F)F,1111
261,[14*]c1ccc2c(n1)CCC2,1111
262,[9*]n1c(=O)ccc2cccnc21,1109
263,[1*]C(=O)CC(C)C,1102
264,[5*]N1c2ccccc2CCc2ccccc21,1097
265,[9*]n1c(=O)sc2ccccc21,1094
266,[1*]C(N)=O,1094
267,[14*]c1cc2occc2[nH]1,1084
268,[14*]c1cn2c(n1)SCC2,1083
269,[5*]N1C2CCC1COC2,1081
270,[8*]CC(F)(F)F,1081
271,[14*]c1oc2c(c1C)C(=O)CCC2,1074
272,[16*]c1cccc(Cl)c1Cl,1074
273,[13*]C1NCC12CCCCC2,1068
274,[14*]c1cc2n(n1)CCCO2,1064
275,[13*]C1COC2(CCNCC2)N1,1062
276,[9*]n1cc2c(n1)C(N)CCC2,1062
277,[13*]C1CN2CCN1CC2,1061
278,[5*]NC1CCCc2c[nH]nc21,1061
279,[1*]C(=O)C(C)(C)C,1060
280,[5*]N1CCc2ccccc21,1050
281,[16*]c1cccc([N+](=O)[O-])c1,1045
282,[15*][C@@H]1CCCN2CCCC[C@H]12,1044
283,[5*]NC1=NC(=O)CS1,1033
284,[10*]N1CCn2nccc2C1=O,1030
285,[5*]N1CCOC2(CCOCC2)C1,1029
286,[14*]c1cc2[nH]ncc2cn1,1023
287,[10*]N1CCC(=O)NC1=O,1023
288,[5*]N1CCC2(CC1)CNC2,1020
289,[9*]n1nc2c(cc1=O)CCCC2,1013
290,[5*]NC(=NC)N1CCC2(CCC2)C1,1012
291,[14*]c1ccc2cnccc2n1,1007
292,[16*]c1ccc(C)c(F)c1,994
293,[9*]n1nc2c(cc1=O)CCC2,989
294,[14*]c1nc2ccccc2s1,989
295,[8*]C(F)F,989
296,[14*]c1ncnc2c1oc1ccccc12,988
297,[13*]C1NC(=O)N(C)C2=C1C(=O)NC2,988
298,[9*]n1ncc2c1CCCCC2,988
299,[8*]CCCC=O,987
300,[5*]N1CCCC2(CC2)C1,984
301,[5*]N1CC2CCC(C1)N2,983
302,[14*]c1cccc(C)n1,981
303,[10*]N1C(=O)c2cccnc2C1=O,979
304,[5*]N1CC2(CCNCC2)C1,975
305,[16*]c1cc(Cl)ccc1C,972
306,[14*]c1n[nH]c2ccccc2c1=O,969
307,[9*]n1ccc(=O)c2ccc(C)nc21,966
308,[5*]N1C2CCC1CNC2,963
309,[5*]N1CC(C)OC2(CCOCC2)C1,960
310,[4*]CC1Cc2ccccc21,960
311,[16*]c1ccc2[nH]c(=O)sc2c1,959
312,[5*]N1CCC(=O)c2ccccc21,956
313,[14*]c1ncon1,954
314,[16*]c1cc(C)oc(=O)c1,949
315,[14*]c1cc(=O)cco1,943
316,[14*]c1ncno1,941
317,[9*]n1cnc2ccsc2c1=O,937
318,[16*]c1cccc(O)c1,935
319,[16*]c1ccc2nsnc2c1,933
320,[5*]N1CCNS1(=O)=O,930
321,[5*]N1c2ccccc2NS1(=O)=O,927
322,[12*]S(=O)(=O)c1cnc2n1CCC2,927
323,[5*]NC1=NCCC1,926
324,[14*]c1nc[nH]n1,920
325,[13*]C1CNCCO1,919
326,[13*]C1(C)CCSC(N)=N1,913
327,[9*]n1cnc2cnccc21,912
328,[5*]NC1CCCc2[nH]c(=O)ccc21,905
329,[14*]c1n[nH]c2c1COCC2,905
330,[10*]N1C(=O)CCNC1=O,903
331,[5*]N1CCCC(C)C1,903
332,[13*]C1CCCCO1,901
333,[14*]c1cc(=O)[nH]o1,900
334,[5*]NC1=NS(=O)(=O)c2ccccc21,900
335,[10*]N1C(=O)NC2(CCCc3ccccc32)C1=O,895
336,[7*]=C1C(=O)c2ccccc2C1=O,894
337,[15*]C1CCOC1,894
338,[14*]c1ccc2c(n1)CCCC2=O,893
339,[9*]n1ccc2occc21,888
340,[10*]N1C(=O)N[C@]2(CCCc3ccccc32)C1=O,887
341,[1*]C(=O)C1=COCCO1,884
342,[9*]n1c(=O)[nH]c2ncccc21,880
