FID,SMILES
182,[16*]c1coc2ccccc12
183,[6*]C(=O)CC#N
184,[16*]c1ccc(C)c([N+](=O)[O-])c1
185,[15*]C1COC1
186,[13*][C@@H]1CN(C)CCO1
187,[15*]C1CCNC1
188,[16*]c1ccc(C)c([SH](=O)=O)c1
189,[4*]C[C@@H](C)C=O
190,[5*][NH+]1CCc2ccccc2C1
191,[16*]c1ccc(Cl)c(C)c1
192,[14*]c1c[nH]cn1
193,[14*]c1ncccc1C#N
194,[12*]S(=O)(=O)c1ccccc1Cl
195,[16*]c1cncc(Cl)c1
196,[14*]c1n[nH]c(=S)[nH]1
197,[15*][C@@H]1CCO[C@@H]1C
198,[5*]N1CCC[C@H]1C
199,[8*][C@@H](O)CC=O
200,[14*]c1n[nH]c2ccccc12
201,[16*]c1cc(C)sc1C
202,[14*]c1oc2ccccc2c1C
203,[16*]c1ccc2c(c1)CCN2
204,[5*]N1CCOc2ccccc21
205,[16*]c1csc2c1CCCC2
206,[14*]c1nnc2n1CCC2
207,[4*]CCC(N)=O
208,[14*]c1nc(C)cc(=O)[nH]1
209,[13*][C@H]1CSCN1
210,[14*]c1cc(C#N)cs1
211,[14*]c1cn2ccsc2n1
212,[5*][NH+]1CCCC[C@@H]1C
213,[15*]C1C[C@@H](C)O[C@H](C)C1
214,[15*][C@@H]1CCC[NH+](C)C1
215,[4*]C[C@H](C)CC
216,[15*][C@@H]1CCCNC1=O
217,[16*]c1ccc([S@@](C)=O)cc1
218,[14*]c1nn2cnnc2s1
219,[1*]C(=O)CO
220,[16*]c1cccc2ncccc12
221,[1*]C(=O)C1=C(C)NC(=O)NC1
222,[9*]n1cnnc1C
223,[15*][C@H]1CCC[NH+](C)C1
224,[14*]c1ncnc2sccc12
225,[5*][NH+]1CCNC(=O)C1
226,[15*]C1C[C@H](C)O[C@@H](C)C1
227,[16*]c1ccc2c(c1)CCCC2
228,[15*][C@H]1C[C@H]2CC[C@@H]1C2
229,[16*]c1conc1C
230,[7*]=CCC
231,[7*]=Cc1ccc(F)cc1
232,[14*]c1nc2c(s1)CCCC2
233,[14*]c1ncnc2[nH]ncc12
234,[13*][C@@H]1CSCN1
235,[13*][C@@H]1NC(=O)C([O-])=C1C=O
236,[16*]c1cc(Br)ccc1F
237,[8*][C@H](O)CC=O
238,[1*]C(=O)NNC(C)=O
239,[16*]c1ccc2c(c1)CCC(=O)N2
240,[8*][C@@H](C)CC=O
241,[5*]N1CC(=O)Nc2ccccc21
242,[16*]c1ccc2c(c1)CNCC2
243,[4*]CC[SH](=O)=O
244,[14*]c1ccc([SH](=O)=O)s1
245,[13*][C@@H]1CCC[NH+]1C
246,[8*]CCCCC
247,[16*]c1cc(=O)[nH]c2ccccc12
248,[6*]C(=O)NN
249,[16*]c1ccc2[nH]c(=O)[nH]c2c1
250,[16*]c1ccc2c(c1)CCCN2
251,[5*]NC(=S)NNC=O
252,[9*]n1cn[nH]c1=O
253,[14*]c1nnn[n-]1
254,[4*][C@H](C)C(=O)[O-]
255,[5*][NH+]1CCC(O)CC1
256,[7*]=Cc1cccc([N+](=O)[O-])c1
257,[16*]c1cccc2c1OCCO2
258,[5*]N1CCc2cc(F)ccc2C1
259,[16*]c1cc([SH](=O)=O)ccc1Cl
260,[16*]c1c(C)n(C)[nH]c1=O
261,[7*]=Cc1ccc(C)cc1
262,[9*]n1c(=O)cc(C)n1C
263,[5*]N1CCc2sccc2C1
264,[5*]N1C[C@@H](C)C[C@H](C)C1
265,[8*]C(C)(C)CC
266,[16*]c1cnccc1C
267,[16*]c1ccc2ncccc2c1
268,[14*]c1cnn[nH]1
269,[16*]c1ccccc1S(C)(=O)=O
270,[16*]c1cc2ccccc2[nH]c1=O
271,[4*][C@H](C)CCC
272,[16*]c1ccc([N+](=O)[O-])cc1C
273,[8*]CS(=O)(=O)CC=O
274,[5*]N1CCC[C@H](O)C1
275,[14*]c1cc(C)ccn1
