SMILES,Idx,FID
[4*]CC(=O)[O-],0,182
[16*]c1ccc2c(c1)OCO2,0,96
[16*]c1cccc([16*])c1,0,1
[16*]c1cccc([16*])c1,6,1
[5*][NH+]1CCC([15*])CC1,0,41
[5*][NH+]1CCC([15*])CC1,5,60
[4*]CC(O)C[4*],0,122
[4*]CC(O)C[4*],5,122
[5*]N1C[C@H](C)O[C@@H](C)C1,0,368
[1*]C(=O)[C@H]([4*])C(C)C,0,145
[1*]C(=O)[C@H]([4*])C(C)C,4,307
[14*]c1ccccn1,0,26
[5*]N1CCC([15*])CC1,0,17
[5*]N1CCC([15*])CC1,5,33
[9*]n1cc[nH+]c1,0,178
[16*]c1cc(C)cc(C)c1,0,156
[13*][C@H]1OCC[C@@H]1[15*],0,80
[13*][C@H]1OCC[C@@H]1[15*],6,228
[4*]C(C)C,0,24
[5*]NC1=[NH+][C@@H](C)CS1,0,11853
[13*][C@@]1(C)CCCO1,0,449
[16*]c1cc(C)ccc1O,0,485
[16*]c1ccccc1Cl,0,46
[4*]CC=C,0,125
[11*]S/C(N)=C(C#N)/C(C#N)=C(\N)S[11*],0,15848
[11*]S/C(N)=C(C#N)/C(C#N)=C(\N)S[11*],13,15848
[9*]n1c(C)c(C)sc1=O,0,2756
[1*]C(=O)CC[8*],0,16
[1*]C(=O)CC[8*],5,50
[15*][C@@H]1CCCC[C@H]1S(C)(=O)=O,0,5592
[16*]c1cc([N+](=O)[O-])cc(/C=N/Nc2ccccc2C)c1O,0,38343
[4*]CC,0,7
[5*]N1CCC[C@@H]([15*])C1,0,17
[5*]N1CCC[C@@H]([15*])C1,6,74
[14*]c1nn2c(=O)cc(C)nc2s1,0,2918
[14*]c1nc(N)c2c(C)c(C)sc2n1,0,3179
[15*]C1CCCC1,0,23
[4*]CCC[8*],0,20
[4*]CCC[8*],4,30
[5*]N1CCc2ccccc2C1,0,203
[16*]c1ccc(Br)cc1[16*],0,92
[16*]c1ccc(Br)cc1[16*],8,107
[13*][C@@H]1CCCO1,0,80
[8*]CC,0,9
[5*][NH+]1CCc2c(c([14*])nn2[9*])C1,0,4352
[5*][NH+]1CCc2c(c([14*])nn2[9*])C1,7,4244
[5*][NH+]1CCc2c(c([14*])nn2[9*])C1,10,4881
[5*]N1CCN([5*])CC1,0,15
[5*]N1CCN([5*])CC1,5,15
[16*]c1cc(C)c([16*])cc1C,0,171
[16*]c1cc(C)c([16*])cc1C,6,171
[15*][C@@H]1[C@@H]2CCO[C@@H]2C12CCC2,0,7029
[14*]c1cnc([14*])s1,0,118
[14*]c1cnc([14*])s1,5,40
[13*][C@H]1CCCO1,0,89
[16*]c1ccc(F)cc1F,0,121
[15*]C1CCC(F)(F)CC1,0,4738
[14*]c1ncccc1F,0,737
[16*]c1ccc(F)c(Cl)c1,0,329
[5*]N1CSC[C@H]1[13*],0,343
[5*]N1CSC[C@H]1[13*],6,631
[16*]c1c[nH]c2ccccc12,0,157
[14*]c1cc(C)no1,0,256
[1*]C(=O)C1=C(N)Oc2c(oc([14*])cc2=O)[C@H]1c1cccc(F)c1,0,31829
[1*]C(=O)C1=C(N)Oc2c(oc([14*])cc2=O)[C@H]1c1cccc(F)c1,11,41223
[8*]CO,0,57
[9*]n1nc(C)cc1[14*],0,233
[9*]n1nc(C)cc1[14*],7,277
[14*]c1nc([O-])c2c(n1)CCC2,0,17619
[5*]N1CCC[C@H]([15*])C1,0,17
[5*]N1CCC[C@H]([15*])C1,6,76
[14*]c1ncnc2onc([14*])c12,0,3137
[14*]c1ncnc2onc([14*])c12,9,3248
[16*]c1ccc(F)cc1,0,22
[6*]C(=O)n1c(N)c([16*])c2ccccc21,0,17276
[6*]C(=O)n1c(N)c([16*])c2ccccc21,7,14127
[16*]c1ccc(Cl)cc1,0,32
[16*]c1c(O)cc(Cl)cc1Cl,0,2331
[1*]C(N)=O,0,198
[6*]C(=O)NNC(=O)C[8*],0,286
[6*]C(=O)NNC(=O)C[8*],8,430
[16*]c1ccc(Cl)cc1Cl,0,164
[3*]OC(F)F,0,142
[1*]C(=O)C[C@@H](C)C([6*])=O,0,6549
[1*]C(=O)C[C@@H](C)C([6*])=O,7,18824
[16*]c1cccc(F)c1,0,44
[14*]c1sccc1C,0,239
[10*]N1C[C@@H]([15*])CC1=O,0,55
[10*]N1C[C@@H]([15*])CC1=O,4,148
[9*]n1c([14*])nc2ccccc21,0,144
[9*]n1c([14*])nc2ccccc21,3,109
[7*]=CC[8*],0,160
[7*]=CC[8*],3,9
[7*]=Cc1ccccc1,0,84
[9*]n1ccc([14*])n1,0,45
[9*]n1ccc([14*])n1,5,77
[16*]c1cccc(C#N)c1,0,167
[16*]c1cccc(C)c1,0,42
[1*]C(=O)C(=O)N/N=C/c1ccccc1F,0,17194
[9*]n1c(C)cc(C2=NN/C(=N\c3ccc(F)cc3)SC2)c1C,0,33620
[14*]c1nc(N)c([16*])cc1C#N,0,15513
[14*]c1nc(N)c([16*])cc1C#N,6,18940
[14*]c1csc([14*])n1,0,51
[14*]c1csc([14*])n1,5,40
[5*]N1CCCCCC1,0,158
[4*]CCO,0,73
[14*]c1ncnc2c1CCCCC2,0,3551
[16*]c1ccccc1[16*],0,1
[16*]c1ccccc1[16*],7,1
[15*]C1([N+](=O)[O-])CCCCC1,0,15351
[10*]N1CCOc2ccccc2C1=O,0,7976
[8*]C(F)(F)F,0,43
[4*]CC(C)(C)O,0,259
[7*]=C1CCSCC1,0,704
[15*][C@H]1CCC[C@H](C2CC2)C1,0,1992
[14*]c1ncoc1[14*],0,221
[14*]c1ncoc1[14*],6,208
[12*]S(=O)(=O)c1cc(C)ccc1O,0,9660
[6*]C(N)=O,0,65
[12*]S(=O)(=O)c1cccc(F)c1,0,698
[16*]c1cncnc1,0,218
[9*]n1c([O-])c2[nH]cc([16*])c2nc1=S,0,14068
[9*]n1c([O-])c2[nH]cc([16*])c2nc1=S,8,14305
[1*]C(C)=O,0,10
[5*]N1CC[C@H]([15*])C1,0,28
[5*]N1CC[C@H]([15*])C1,5,133
[5*]N1CC=C(c2ccc(Cl)cc2)CC1,0,5006
[16*]c1ccc([S@](C)=O)cc1,0,513
[4*][C@H](C[8*])CO,0,477
[4*][C@H](C[8*])CO,3,352
[12*]S(=O)(=O)c1ccc([16*])cc1,0,56
[12*]S(=O)(=O)c1ccc([16*])cc1,8,91
[5*]N1CCCC[C@@H]1[13*],0,17
[5*]N1CCCC[C@@H]1[13*],7,217
[4*]CCC,0,20
[14*]c1ccc([N+](=O)[O-])c([14*])n1,0,831
[14*]c1ccc([N+](=O)[O-])c([14*])n1,9,1293
[14*]c1[nH+]ccn1C,0,359
[12*]S(=O)(=O)CC(C)C,0,3111
[5*]N1CCCc2c([16*])cccc21,0,279
[5*]N1CCCc2c([16*])cccc21,7,3045
[4*]C(C)(C)C,0,68
[12*]S(=O)(=O)c1c(C)cc(C)cc1C,0,1044
[1*]C(=O)C(C)(C)C,0,245
[7*]=C1C(=O)N(C)c2ccccc21,0,3722
[7*]=C(SC1=N[C@@H]2[NH+]=c3ccccc3=C2N=N1)C(=O)[O-],0,22725
[4*]CCC[4*],0,20
[4*]CCC[4*],4,20
[14*]c1sc2ccccc2c1Cl,0,1325
[4*]CC(=C)C,0,506
[16*]c1cccc(F)c1Cl,0,1300
[15*][C@@H]1CCC[C@@H]([15*])C1,0,21
[15*][C@@H]1CCC[C@@H]([15*])C1,6,21
[14*]c1n[nH]c2ccc(C)cc12,0,5720
[4*]CCCC[4*],0,86
[4*]CCCC[4*],5,86
[16*]c1ccc([16*])c([16*])c1,0,1
[16*]c1ccc([16*])c([16*])c1,5,1
[16*]c1ccc([16*])c([16*])c1,7,1
[5*]N1CC(C)(C)C1(C)C,0,2703
[5*]N1C[C@@H](C)C[C@H](C)C1,0,705
[16*]c1cccc(F)c1C(N)=S,0,3217
[1*]C(=O)C[C@H]([4*])C[NH3+],0,991
[1*]C(=O)C[C@H]([4*])C[NH3+],5,1849
[16*]c1cc([16*])cc([16*])c1,0,1
[16*]c1cc([16*])cc([16*])c1,4,1
[16*]c1cc([16*])cc([16*])c1,7,1
[7*]=CC,0,160
[1*]C(=O)C(=[7*])C,0,16
[1*]C(=O)C(=[7*])C,4,659
[5*]N1CC[NH+]([5*])CC1,0,78
[5*]N1CC[NH+]([5*])CC1,5,81
[4*]CC(=O)N1N=C(c2ccc([16*])cc2)C[C@@H]1[13*],0,2810
[4*]CC(=O)N1N=C(c2ccc([16*])cc2)C[C@@H]1[13*],11,3721
[4*]CC(=O)N1N=C(c2ccc([16*])cc2)C[C@@H]1[13*],16,3839
[16*]c1c(C)noc1N,0,6365
[15*]C1([15*])CCCC1,0,23
[15*]C1([15*])CCCC1,2,23
[5*]N1CCOC[C@@H](O)C1,0,6014
[9*]n1nnc2ccccc2c1=O,0,848
[16*]c1ccc([N+](=O)[O-])c([16*])c1,0,102
[16*]c1ccc([N+](=O)[O-])c([16*])c1,9,126
[16*]c1cc([16*])c(Cl)cc1[16*],0,32
[16*]c1cc([16*])c(Cl)cc1[16*],4,46
[16*]c1cc([16*])c(Cl)cc1[16*],9,47
[5*]N1Cc2ccccc2N(C)C[C@@H]1C,0,2868
[16*]c1ccccc1C,0,36
[1*]C(=O)CS(=O)(=O)c1cccc[n+]1[O-],0,9664
[4*]CC(C)(O)C[4*],0,259
[4*]CC(C)(O)C[4*],6,259
[10*]N1C[C@H]([15*])CC1=O,0,55
[10*]N1C[C@H]([15*])CC1=O,4,143
[12*]S(=O)(=O)c1c(C)noc1C,0,732
[5*]N1CCc2sccc2C1,0,703
[8*]CC[C@H]([8*])[NH3+],0,1261
[8*]CC[C@H]([8*])[NH3+],4,1885
[15*][C@H]1CCOC2(CCOCC2)C1,0,1604
[5*]N1CC[C@@H](S([12*])(=O)=O)C1,0,1393
[5*]N1CC[C@@H](S([12*])(=O)=O)C1,6,1387
[1*]C(=O)C[C@@H]([8*])C,0,75
[1*]C(=O)C[C@@H]([8*])C,5,644
[8*]C(C)C,0,39
[1*]C(=O)CC#N,0,224
[16*]c1cccc(Br)c1F,0,15148
[5*]N1CCC([NH3+])CC1,0,1212
[16*]c1cccc(O)c1,0,183
[14*]c1ccc(Br)s1,0,429
[15*][C@@H]1CC[NH+](C)C[C@@H]1C,0,3818
[5*][NH2+]C,0,27
[4*]C[C@H]([4*])C[8*],0,20
[4*]C[C@H]([4*])C[8*],3,24
[4*]C[C@H]([4*])C[8*],5,30
[14*]c1nc(C)cs1,0,103
[10*]N1C(=O)c2ccccc2NC1([13*])[13*],0,758
[10*]N1C(=O)c2ccccc2NC1([13*])[13*],12,4560
[10*]N1C(=O)c2ccccc2NC1([13*])[13*],13,4560
[14*]c1sc(S(N)(=O)=O)cc1C,0,12615
[8*]CC[8*],0,9
[8*]CC[8*],3,9
[14*]c1cc([16*])c2ccccc2n1,0,222
[14*]c1cc([16*])c2ccccc2n1,4,294
[16*]c1ccncc1,0,52
[1*]C(=O)[C@@H](C[NH3+])CC(C)C,0,2832
[16*]c1ccc(S(C)(=O)=O)cc1,0,330
[15*][C@@H]1CC[NH2+][C@H]1C,0,1398
[16*]c1ccc2c(c1)OCCO2,0,137
[16*]c1ccc(Br)cc1,0,92
[1*]C(=O)[C@@H]([8*])C,0,16
[1*]C(=O)[C@@H]([8*])C,4,199
[9*]n1c(=O)oc2ccccc21,0,482
[8*][C@](C)([NH3+])CC,0,4367
[14*]c1noc([14*])n1,0,53
