SMILES,Idx,FID
[4*][C@]1([15*])CCO[C@H](C)C1,2,6122
[1*]C(=O)C1=Cc2ccc([16*])cc2OC1,0,912
[1*]C(=O)C1=Cc2ccc([16*])cc2OC1,9,5972
[16*]c1ccc(O)c(C)c1,0,3564
[5*]N1CCc2cc([16*])c([16*])cc2C1,0,203
[5*]N1CCc2cc([16*])c([16*])cc2C1,7,1090
[5*]N1CCc2cc([16*])c([16*])cc2C1,9,649
[16*]c1ccccc1S(=O)(=O)CC,0,2295
[8*]CS(=O)(=O)c1nnc(C)n1[9*],0,13189
[8*]CS(=O)(=O)c1nnc(C)n1[9*],11,13050
[15*][C@@H]1CCOc2ccccc2C1,0,7636
[14*]c1n[nH]c2c1COc1ccccc1-2,0,30817
[4*]CCN1C(=O)C(=O)c2cc(Cl)cc(Cl)c21,0,29954
[16*]c1ccc([16*])c(N)c1,0,400
[16*]c1ccc([16*])c(N)c1,5,389
[3*]O/N=C(/N)c1cccs1,0,5734
[4*][C@H]([8*])C#C,0,187
[4*][C@H]([8*])C#C,2,812
[3*]O/N=C\c1ccc([16*])c([N+](=O)[O-])c1,0,25217
[3*]O/N=C\c1ccc([16*])c([N+](=O)[O-])c1,8,26961
[12*]S(=O)(=O)/C=C/c1cccc(Br)c1,0,8120
[9*]n1c(=O)c(=O)n([9*])c2ccccc21,0,1783
[9*]n1c(=O)c(=O)n([9*])c2ccccc21,7,1783
[4*]C[C@@H]([4*])C(C)C,0,173
[4*]C[C@@H]([4*])C(C)C,3,348
[4*][C@](C)(C(=O)[O-])C(F)(F)F,0,1926
[7*]=C1S/C(=N\c2ccc(F)cc2)NC1=O,0,13391
[7*]=Cc1ccc(O)c(O)c1,0,4921
[15*][C@]12CC[C@@](C)(c3nc(C#N)c(C#N)nc31)C2(C)C,0,38485
[14*]c1nc2cc(C)c(C)cc2nc1[14*],0,9996
[14*]c1nc2cc(C)c(C)cc2nc1[14*],13,9996
[12*]S(=O)(=O)c1cc(C)c(C)cc1C,0,4522
[16*]c1c[nH]c2ccccc2c1=O,0,1419
[15*][C@H]1[C@@H]2CCc3ccccc3[C@H]12,0,12175
[4*][C@H](C)[C@H]([NH3+])C[8*],0,12264
[4*][C@H](C)[C@H]([NH3+])C[8*],6,1742
[16*]c1ccc(C)cc1Br,0,533
[12*]S(=O)(=O)c1ccc(C)c(N)c1,0,4059
[16*]c1cccc(C)c1O,0,1375
[5*]N1CCSC[C@@H]1S(=O)(=O)CC,0,13893
[15*][C@H]1C[C@@H]([15*])C12CCCC2,0,1787
[15*][C@H]1C[C@@H]([15*])C12CCCC2,4,1668
[16*]c1ccc2nc(C)oc2c1,0,1497
[14*]c1cc(C)c([N+](=O)[O-])cn1,0,1264
[9*]n1nc(C)c2c([16*])cc([14*])nc21,0,1546
[9*]n1nc(C)c2c([16*])cc([14*])nc21,7,1611
[9*]n1nc(C)c2c([16*])cc([14*])nc21,10,1601
[4*]CC(=O)N/N=C\c1cccc2c1OCCO2,0,30328
[6*]C(=O)N/N=C/c1cc(C)n([9*])c1C,0,5854
[6*]C(=O)N/N=C/c1cc(C)n([9*])c1C,11,5487
[7*]=Cc1ccc2c(c1)OCCO2,0,2524
[16*]c1cc(C)c(O)c(C)c1,0,6469
[5*]N1CC[NH+]([5*])C[C@@H]1[13*],0,78
[5*]N1CC[NH+]([5*])C[C@@H]1[13*],5,81
[5*]N1CC[NH+]([5*])C[C@@H]1[13*],8,1160
[4*]CC(=O)N/N=C(/C)c1cc2ccccc2o1,0,40770
[1*]C(=O)C1=C(C)NC2=C(C(=O)CCC2)[C@H]1[15*],0,1318
[1*]C(=O)C1=C(C)NC2=C(C(=O)CCC2)[C@H]1[15*],15,2320
[16*]c1ccc2c(C)c(C)c(=O)oc2c1,0,8924
[14*]c1nc([14*])nc([14*])n1,0,854
[14*]c1nc([14*])nc([14*])n1,4,854
[14*]c1nc([14*])nc([14*])n1,7,854
[14*]c1nn2c([14*])cc(C)nc2c1C,0,12947
[14*]c1nn2c([14*])cc(C)nc2c1C,5,13240
[5*]NC1=c2ccccc2=[NH+][C@H]1[13*],0,2927
[5*]NC1=c2ccccc2=[NH+][C@H]1[13*],11,6371
[14*]c1nccnc1C#N,0,2228
[8*]CS(=O)(=O)/N=C(\[O-])c1c(C)oc(C)c1C,0,39387
[8*]C[C@]([8*])(CC)C[NH3+],0,30690
[8*]C[C@]([8*])(CC)C[NH3+],3,21495
[10*]N1CCC(=O)N2CCC[C@@H]2C1=O,0,8602
[16*]c1cc(Cl)c(Cl)cc1Cl,0,1853
[16*]c1cc2ccccc2cc1O,0,2214
[4*]CCS([12*])(=O)=O,0,653
[4*]CCS([12*])(=O)=O,4,270
[15*][C@H]1CCCSC1,0,8101
[16*]c1ccc(Cl)c2cccnc12,0,2316
[16*]c1ccc2c(c1)OC(N)=C(C#N)[C@@H]2c1ccc(F)cc1,0,33852
[8*]CC[P@@](=O)(O)[C@@H]([8*])[NH3+],0,29493
[8*]CC[P@@](=O)(O)[C@@H]([8*])[NH3+],7,31089
[16*]c1c(C)nsc1N,0,6097
[14*]c1nc2cc(Br)ccc2n1C,0,16684
[4*]C[C@@](C)(O)C(C)C,0,2842
[6*]C(=O)/N=c1\sc2cc([16*])c([16*])cc2n1[9*],0,1359
[6*]C(=O)/N=c1\sc2cc([16*])c([16*])cc2n1[9*],9,2402
[6*]C(=O)/N=c1\sc2cc([16*])c([16*])cc2n1[9*],11,6846
[6*]C(=O)/N=c1\sc2cc([16*])c([16*])cc2n1[9*],15,1399
[16*]c1ccc(S(=O)(=O)C(C)C)cc1,0,3644
[5*]N1CCC2(CC1)OC[C@H]([13*])N2[5*],0,1895
[5*]N1CCC2(CC1)OC[C@H]([13*])N2[5*],10,6140
[5*]N1CCC2(CC1)OC[C@H]([13*])N2[5*],12,1889
[5*]N1CC[C@H](C(N)=O)c2ccccc21,0,1957
[7*]=C1N=C(c2ccccc2[N+](=O)[O-])OC1=O,0,18467
[5*]N1C[C@H](C)OC[C@H]1C,0,2067
[16*]c1cc2ccccc2cc1[16*],0,162
[16*]c1cc2ccccc2cc1[16*],11,162
[14*]c1ncnc2c1CC[NH2+]CC2,0,5521
[13*][C@@H]1Nc2ccc(O)cc2[C@H]2C=CC[C@@H]12,0,33956
[13*][C@@]1(C)CC(c2ccccc2F)=NO1,0,20777
[4*][C@H](C)C([8*])[8*],0,24
[4*][C@H](C)C([8*])[8*],4,30
[4*][C@H](C)C([8*])[8*],5,30
[6*]C(=O)NNC(=O)CCl,0,16233
[13*][C@H]1Nc2cccc3cccc(c23)N=C1O,0,33060
[5*]N(C)/C([O-])=N/c1nc([14*])n[nH]1,0,39545
[5*]N(C)/C([O-])=N/c1nc([14*])n[nH]1,9,30737
[15*][C@H]1CC[C@H]2[C@H]3CC[C@H]4C[C@H]([15*])CC[C@]4(C)[C@@H]3CC(=O)[C@]12C,0,31202
[15*][C@H]1CC[C@H]2[C@H]3CC[C@H]4C[C@H]([15*])CC[C@]4(C)[C@@H]3CC(=O)[C@]12C,11,26930
[5*]N1CCc2ccccc2[C@@H]1CC,0,7656
[1*]C(=O)[C@@](C)(N)C(F)(F)F,0,2022
[7*]=Cc1ccc([16*])cc1O,0,3070
[7*]=Cc1ccc([16*])cc1O,6,786
[14*]c1c([O-])on[n+]1-c1ccccc1,0,3868
[14*]c1cn2ccccc2[nH+]1,0,1890
[13*][C@@H]1NC(=O)c2c(C)cccc2N1,0,37594
[16*]c1cc2c(cc1[16*])n(C)c(=O)n2C,0,1103
[16*]c1cc2c(cc1[16*])n(C)c(=O)n2C,7,1103
[14*]c1nc(C)[nH+]cc1[16*],0,2514
[14*]c1nc(C)[nH+]cc1[16*],8,9165
[5*]N1CC[NH+](C)[C@]2(CCC(=O)N(C)CC2)C1,0,14091
[1*]C(=O)[C@@H]([4*])CC(C)C,0,407
[1*]C(=O)[C@@H]([4*])CC(C)C,4,1266
[9*]n1nc(C)c2cc([14*])sc21,0,1575
[9*]n1nc(C)c2cc([14*])sc21,8,1561
[16*]c1cc([N+](=O)[O-])ccc1O,0,1366
[14*]c1nc2n(n1)C[C@H]1C=CC=C[C@H]21,0,37341
[1*]C(=O)CC[C@@H]([8*])[NH3+],0,991
[1*]C(=O)CC[C@@H]([8*])[NH3+],6,13444
[4*][C@H](C[8*])C(F)(F)F,0,2271
[4*][C@H](C[8*])C(F)(F)F,3,615
[1*]C(=O)C[C@@H]1OC(=O)c2ccccc21,0,3738
[10*]N1CC[C@]2(CCC1=O)NC(=O)c1ccccc1O2,0,17553
[8*]C[C@]([8*])(C)[NH3+],0,1177
[8*]C[C@]([8*])(C)[NH3+],3,2827
[1*]C(=O)[C@H](C#N)C[8*],0,5532
[1*]C(=O)[C@H](C#N)C[8*],7,7510
[5*]N1[C@H]2CC[C@@H]1CC(=O)NC2,0,8181
[9*]n1c(=O)[nH]cc([16*])c1=O,0,3275
[9*]n1c(=O)[nH]cc([16*])c1=O,7,1867
[5*]N1CCC[C@@H](C)CC1,0,2039
[8*]CS(=O)(=O)c1cccc([16*])c1,0,1429
[8*]CS(=O)(=O)c1cccc([16*])c1,10,795
[14*]c1nc([14*])c2c(n1)CC[NH2+]CC2,0,6603
[14*]c1nc([14*])c2c(n1)CC[NH2+]CC2,4,5521
[15*][C@H]1CCC[C@H]1[NH3+],0,2509
[15*][C@H]1C[C@@H]([15*])C12CCC2,0,1454
[15*][C@H]1C[C@@H]([15*])C12CCC2,4,1141
[1*]C(=O)C1=Cc2ccccc2OC1,0,912
[8*]CC[C@H]([8*])O,0,352
[8*]CC[C@H]([8*])O,4,492
[7*]=Cc1cc2c(cc1C)OCO2,0,32005
[12*]S(=O)(=O)c1c[nH]c([14*])n1,0,993
[12*]S(=O)(=O)c1c[nH]c([14*])n1,8,5373
[4*]CC1=NC(=O)C2=C(c3ccc(C)cc3)[C@@H](C)SC2=N1,0,38768
[5*]N[C@@H]1CCCn2nc([14*])nc21,0,1304
[5*]N[C@@H]1CCCn2nc([14*])nc21,9,1377
[16*]c1ccc(Cl)c([N+](=O)[O-])c1,0,710
[6*]C(=O)N/N=C\c1cccc(Cl)c1,0,34491
[5*]N1C[C@H](C)CS1(=O)=O,0,6392
[4*][C@H]([8*])C(=O)[O-],0,182
[4*][C@H]([8*])C(=O)[O-],2,205
[13*][C@H]1C=c2cc(C)ccc2=[NH+]1,0,9790
[1*]C(=O)C1=C(C)OCCS1,0,5504
[14*]c1nc2n(n1)[C@H](c1cccs1)C(C(C)=O)=C(C)N2,0,27161
[8*]CN1CC[C@H](C)Sc2ccccc21,0,19777
[5*]N1CCN(C2=[NH+]C[C@H](C)S2)CC1,0,3021
[14*]c1cn2nc([14*])sc2n1,0,2153
[14*]c1cn2nc([14*])sc2n1,6,2283
[16*]c1cc[nH]c1C,0,1460
[4*]CC(C)(C)C[C@@H](C)O,0,1773
[5*]N1CCCc2cc(C)cc(C)c21,0,6171
[5*]N1C[C@H](C)NC(=O)c2ccc(F)cc21,0,4746
[5*]N1CC[NH+](CN2CCN(CN3C(=O)C(=O)c4ccccc43)CC2)CC1,0,41441
[5*]NS(=O)(=O)N1C[C@@H](C)O[C@H](C)C1,0,4590
[5*][NH+]1CCSC[C@@H]1[13*],0,905
[5*][NH+]1CCSC[C@@H]1[13*],7,4491
[15*]C1(C)Cc2ccccc2C1,0,1151
[5*]N1CCc2cc([16*])ccc2C1,0,203
[5*]N1CCc2cc([16*])ccc2C1,7,1090
[8*][C@@H](N)C[NH3+],0,3834
[4*][C@H](C)[C@@H]([8*])C,0,135
[4*][C@H](C)[C@@H]([8*])C,4,332
[15*][C@H]1CC(=O)c2cnc3c([16*])c(C)nn3c2C1,0,7326
[15*][C@H]1CC(=O)c2cnc3c([16*])c(C)nn3c2C1,10,6272
[5*]N[C@@H]1CCSc2ccc(F)cc21,0,2393
[14*]c1c([O-])on[n+]1C,0,4799
[1*]C(=O)[C@H](C[8*])CC,0,434
[1*]C(=O)[C@H](C[8*])CC,5,7011
[16*]c1cccc(C)c1[N+](=O)[O-],0,3082
[4*]CCCC[NH3+],0,3774
[6*]C(=O)C(=[7*])N1C=CC=CC1=[7*],0,41388
[6*]C(=O)C(=[7*])N1C=CC=CC1=[7*],4,34305
[6*]C(=O)C(=[7*])N1C=CC=CC1=[7*],11,25009
[7*]=C(C#N)C#N,0,2083
[15*][C@@H]1COC[C@@H]1[15*],0,228
[15*][C@@H]1COC[C@@H]1[15*],6,213
[14*]c1scc(C#N)c1NN=C(C#N)C#N,0,26991
[16*]c1cc(Cl)cc2cccnc12,0,3312
[13*][C@H]1Cc2[nH+]c[nH]c2CN1,0,2562
[1*]C(=O)CCCl,0,3770
[5*][NH+]1CCO[C@@H]([13*])C1,0,543
[5*][NH+]1CCO[C@@H]([13*])C1,6,1403
[9*]n1nc(N)cc1C,0,16055
[10*]N1C(=O)[C@H]([13*])NC(=O)C1(C)C,0,11527
[10*]N1C(=O)[C@H]([13*])NC(=O)C1(C)C,5,8039
[14*]c1cn2nc(C)sc2n1,0,6184
[9*]n1c[nH+]c([14*])c1[14*],0,178
[9*]n1c[nH+]c([14*])c1[14*],5,937
[9*]n1c[nH+]c([14*])c1[14*],7,891
[14*]c1nc2c(c(=O)[nH]1)[C@H](c1ccc([16*])c([16*])c1)CC(=O)N2,0,9327
[14*]c1nc2c(c(=O)[nH]1)[C@H](c1ccc([16*])c([16*])c1)CC(=O)N2,13,14026
[14*]c1nc2c(c(=O)[nH]1)[C@H](c1ccc([16*])c([16*])c1)CC(=O)N2,15,13594
[4*]CC#CC,0,426
[5*][N+]([5*])(C)C,0,62
[5*][N+]([5*])(C)C,2,62
[14*]c1cnc2ccc(C#N)cn12,0,3162
[14*]c1cnc2ccc(C)cn12,0,761
[16*]c1c(C)cc(C)c([16*])c1C,0,268
[16*]c1c(C)cc(C)c([16*])c1C,8,268
[14*]c1cn2ncsc2n1,0,2153
[4*]CC#Cc1ccc(F)cc1,0,25032
[14*]c1nnc(C)n1N,0,2307
[16*]c1ccc2c(=O)[nH]cnc2c1,0,2075
[6*]C(=O)N/N=C/c1ccc(C)cc1,0,6420
[16*]c1ccc(S(=O)(=O)CC)cc1,0,1106
[9*]n1ncc2c([16*])cc(C)nc21,0,1603
[9*]n1ncc2c([16*])cc(C)nc21,6,3007
[13*][C@@H]1[C@@H]([15*])C2(C(=O)c3ccccc3C2=O)[C@H]2C=Cc3ccccc3N12,0,37962
[13*][C@@H]1[C@@H]([15*])C2(C(=O)c3ccccc3C2=O)[C@H]2C=Cc3ccccc3N12,3,23693
[14*]c1ccc2cc([16*])ccc2n1,0,222
[14*]c1ccc2cc([16*])ccc2n1,7,715
[16*]c1ccc2c(c1)N=C1C(=O)N(/N=C/c3cccc([16*])c3O)C(=O)N=C12,0,37747
[16*]c1ccc2c(c1)N=C1C(=O)N(/N=C/c3cccc([16*])c3O)C(=O)N=C12,19,40292
[10*]N1C(=O)[C@H](C)CS1(=O)=O,0,2743
[13*][C@H]1CCC(=O)N1,0,770
[1*]C(=O)C1=C(N)OC(C)=C(C#N)[C@H]1[15*],0,29095
[1*]C(=O)C1=C(N)OC(C)=C(C#N)[C@H]1[15*],13,26559
[9*]n1c(C)nc2cc([16*])ccc21,0,684
[9*]n1c(C)nc2cc([16*])ccc21,8,1755
[14*]c1nn(C)c2c1C[C@H]([15*])CC2,0,2937
[14*]c1nn(C)c2c1C[C@H]([15*])CC2,9,5412
[9*]n1c([14*])nc2cc(Cl)ccc2c1=O,0,2196
[9*]n1c([14*])nc2cc(Cl)ccc2c1=O,3,1663
[13*][C@H]1[C@@H]([15*])CC[NH+]1C,0,853
[13*][C@H]1[C@@H]([15*])CC[NH+]1C,3,944
[16*]c1cc(C)c(/C=N/NC(=O)CC#N)cc1[16*],0,22523
[16*]c1cc(C)c(/C=N/NC(=O)CC#N)cc1[16*],16,37411
[4*][C@@]1([15*])CCC[C@@H]1[15*],0,184
[4*][C@@]1([15*])CCC[C@@H]1[15*],2,23
[4*][C@@]1([15*])CCC[C@@H]1[15*],7,23
[5*]N1CC[C@H]([15*])[C@H](C)C1,0,338
[5*]N1CC[C@H]([15*])[C@H](C)C1,5,4891
[6*]C(=O)C1=C([O-])C(=O)N(C)[C@@H]1[13*],0,4742
[6*]C(=O)C1=C([O-])C(=O)N(C)[C@@H]1[13*],11,7418
[5*]N/C(=[NH+]/CC)N1CCN([5*])CC1,0,5479
[5*]N/C(=[NH+]/CC)N1CCN([5*])CC1,10,5094
[16*]c1ccc2ncc3c(=O)[nH]c(N)nc3c2c1,0,21385
[6*]C(=O)C1=C([O-])C(=O)N([10*])[C@@H]1[13*],0,356
[6*]C(=O)C1=C([O-])C(=O)N([10*])[C@@H]1[13*],9,357
[6*]C(=O)C1=C([O-])C(=O)N([10*])[C@@H]1[13*],11,564
[5*]N1C[C@@H]2CC[C@H](C1)N([10*])C2=O,0,2846
[5*]N1C[C@@H]2CC[C@H](C1)N([10*])C2=O,9,2848
[5*]N1CCC[C@@H](C)[C@@H]1C,0,5081
[14*]c1sccc1C#N,0,849
[8*]CC1=CC[C@@H](C(=C)C)CC1,0,41744
[10*]N1C[C@@]23C=C[C@@H](O2)[C@@H]([15*])[C@@H]3C1=O,0,2830
[10*]N1C[C@@]23C=C[C@@H](O2)[C@@H]([15*])[C@@H]3C1=O,9,3934
[13*][C@@H]1O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]42OO3,0,25432
[9*]n1c(=O)c2ccccc2n([9*])c1=O,0,768
[9*]n1c(=O)c2ccccc2n([9*])c1=O,11,1080
[15*][C@@H]1CC[NH+](C)C1,0,955
[13*]C1OCC2(CO1)[C@@H](C)C=C(C)C[C@H]2C,0,20227
[4*][C@H](CO)C(C)(C)C,0,13043
[14*]c1nc2c(F)cccc2n1C,0,4767
[8*]C([8*])([8*])O,0,57
[8*]C([8*])([8*])O,2,57
[8*]C([8*])([8*])O,3,57
[13*][C@@H]1Nc2c(C)ccc(C)c2[C@@H]2C=CC[C@@H]12,0,18892
[7*]=Cc1ccccn1,0,3043
[4*][C@H](C#N)C(C)C,0,2407
[10*]N1CSCC1=O,0,903
[12*]S(=O)(=O)c1ccc2c(c1)CCC2,0,1800
[8*]CC(=O)/N=c1\sc2ccc([N+](=O)[O-])cc2n1[9*],0,28454
[8*]CC(=O)/N=c1\sc2ccc([N+](=O)[O-])cc2n1[9*],17,30806
[9*]n1c(=O)c2c(c(C)nn2[9*])n([9*])c1=O,0,8282
[9*]n1c(=O)c2c(c(C)nn2[9*])n([9*])c1=O,10,8581
[9*]n1c(=O)c2c(c(C)nn2[9*])n([9*])c1=O,12,8690
[9*]n1nnnc1N,0,3829
[16*]c1ccc2c(=O)n3c(nc2c1)CCCCCC3,0,6194
[8*]C[n+]1ccccc1[14*],0,2968
[8*]C[n+]1ccccc1[14*],8,4341
[8*]CCS([12*])(=O)=O,0,926
[8*]CCS([12*])(=O)=O,4,270
[1*]C(=O)[C@H](C)CC,0,434
[12*]S(=O)(=O)c1c(C)ccc([16*])c1C,0,4454
[12*]S(=O)(=O)c1c(C)ccc([16*])c1C,10,14316
[10*]N1C(=O)c2cccc3cc(S([12*])(=O)=O)cc(c23)C1=O,0,12854
[10*]N1C(=O)c2cccc3cc(S([12*])(=O)=O)cc(c23)C1=O,12,10142
[15*][C@@H]1CCCOC1,0,771
[14*]c1[nH+]cc(C)c([16*])c1C,0,4310
[14*]c1[nH+]cc(C)c([16*])c1C,7,4422
[1*]C(=O)C1=C(C)N=C(C)C([15*])[C@H]1C=[7*],0,38857
[1*]C(=O)C1=C(C)N=C(C)C([15*])[C@H]1C=[7*],10,36090
[1*]C(=O)C1=C(C)N=C(C)C([15*])[C@H]1C=[7*],13,32126
[7*]=C(Cl)c1ccccc1,0,18177
[4*]C1([15*])COC1,0,5541
[4*]C1([15*])COC1,2,503
[16*]c1cc[nH+]cc1N,0,8142
[13*][C@H]1N=C(N/C(N)=N\c2cccc(C)c2)N=C1[O-],0,29436
[1*]C(=O)[C@@H](C)S(C)(=O)=O,0,1071
[15*][C@@]1(O)CCc2ccccc2C1,0,6202
[13*][C@H]1NC(=O)c2ccccc2N=C1O,0,7217
[5*]N1CCCCS1(=O)=O,0,2719
[13*][C@@H]1[NH2+]CCC[C@H]1C,0,5369
[5*]N1CCN2C(=O)NC[C@@H]2C1,0,2107
[8*]CN1C(=O)CCc2c(C)nc([14*])nc21,0,3993
[8*]CN1C(=O)CCc2c(C)nc([14*])nc21,12,3265
[4*]CC(=O)N1N=C(CCC)C[C@@]1([13*])O,0,27038
[4*]CC(=O)N1N=C(CCC)C[C@@]1([13*])O,12,21726
[5*]N1CCN(S(=O)(=O)N(C)C)CC1,0,3826
[7*]=CC(C)(C)O,0,10060
[7*]=CC1=C[C@@H](O)[C@@](C)(O)C[C@@H]1O,0,27354
[14*]c1nn2c([14*])ccnc2c1[16*],0,1301
[14*]c1nn2c([14*])ccnc2c1[16*],5,667
[14*]c1nn2c([14*])ccnc2c1[16*],11,1019
[16*]c1ccc2c(c1)C(=O)NC2=O,0,493
[4*][C@H](C)C1=NC(=O)C2=C(c3ccccc3)CSC2=N1,0,36388
[9*]n1ncc(Br)c1[14*],0,847
[9*]n1ncc(Br)c1[14*],7,1549
[4*]CC1=C(C(=O)[O-])N2C(=O)[C@H]([15*])[C@H]2SC1,0,8472
[4*]CC1=C(C(=O)[O-])N2C(=O)[C@H]([15*])[C@H]2SC1,11,8041
[13*][C@@H]1CS[C@@]2(C)CCC(=O)N12,0,3300
[15*][C@H]1CC[C@@]([15*])(C)C1(C)C,0,11495
[15*][C@H]1CC[C@@]([15*])(C)C1(C)C,5,9077
[7*]=Cc1cccc([16*])c1O,0,3070
[7*]=Cc1cccc([16*])c1O,7,1375
[7*]=C1[NH+]=C(C)OC1=O,0,30297
[5*][NH+]1CC[S@@](=O)C(C)(C)C1,0,5416
[9*]n1[nH]c2nccc([16*])c2c1=O,0,6621
[9*]n1[nH]c2nccc([16*])c2c1=O,8,18303
[4*][C@H]([8*])C#N,0,195
[4*][C@H]([8*])C#N,2,234
[6*]C(=O)N/N=C(\C)c1cccc(/C(C)=N/NC([6*])=O)n1,0,13481
[6*]C(=O)N/N=C(\C)c1cccc(/C(C)=N/NC([6*])=O)n1,17,13481
[4*]C1(C#N)CCCCCC1,0,4139
[4*][C@]([8*])(C)C[NH3+],0,4235
[4*][C@]([8*])(C)C[NH3+],2,2268
[15*]C1(C)CC1,0,919
[5*]N[C@H]1CCCc2ccccc21,0,729
[14*]c1nc2cc(C)[nH]c2c(=O)[nH]1,0,3319
[8*][C@@H](O)CC,0,464
[4*][C@H](CCCC)C(=O)[O-],0,9041
[13*][C@H]1CC(c2ccc([16*])cc2)=NN1C(C)=O,0,3839
[13*][C@H]1CC(c2ccc([16*])cc2)=NN1C(C)=O,8,3721
[5*]N1CCN(S(=O)(=O)N2CCOCC2)CC1,0,11400
[9*]n1nc([14*])c2ncn(C)c(=O)c21,0,7964
[9*]n1nc([14*])c2ncn(C)c(=O)c21,4,8451
[16*]c1ccc(C)cc1O,0,938
[5*]N1C[C@H]([13*])O[C@H](C)C1,0,394
[5*]N1C[C@H]([13*])O[C@H](C)C1,4,1697
[5*]N1[C@H]([13*])COC12CC[NH+]([5*])CC2,0,10321
[5*]N1[C@H]([13*])COC12CC[NH+]([5*])CC2,3,12737
[5*]N1[C@H]([13*])COC12CC[NH+]([5*])CC2,10,10423
[9*]n1nc([14*])c2ccccc21,0,1353
[9*]n1nc([14*])c2ccccc21,4,534
[16*]c1ccc(C=O)nc1,0,5828
[13*][C@@H]1OCCC[C@@H]1[15*],0,399
[13*][C@@H]1OCCC[C@@H]1[15*],7,738
[9*]n1cnc2scc([16*])c2c1=O,0,727
[9*]n1cnc2scc([16*])c2c1=O,8,935
[11*]SS[11*],0,5271
[11*]SS[11*],3,5271
[14*]c1nc2ccc([N+](=O)[O-])cc2s1,0,2027
[1*]C(=O)[C@@H]([4*])CCCC,0,907
[1*]C(=O)[C@@H]([4*])CCCC,4,3893
[5*]N[C@@H]1CCCc2c1cnn2C,0,1802
[5*][NH2+][C@@H]1c2cc([16*])ccc2C[C@H]1[15*],0,2061
[5*][NH2+][C@@H]1c2cc([16*])ccc2C[C@H]1[15*],6,4488
[5*][NH2+][C@@H]1c2cc([16*])ccc2C[C@H]1[15*],12,11698
[14*]c1nc2n(n1)[C@H](c1ccc(O)cc1)[C@H]([15*])C(C)=N2,0,21900
[14*]c1nc2n(n1)[C@H](c1ccc(O)cc1)[C@H]([15*])C(C)=N2,15,39217
[14*]c1nnc2ccc3ccccc3n12,0,7093
[14*]c1nc2ccc(S(N)(=O)=O)cc2s1,0,9383
[14*]c1ncc(S(C)(=O)=O)c([14*])n1,0,5757
[14*]c1ncc(S(C)(=O)=O)c([14*])n1,10,5434
[9*]n1cnc([N+](=O)[O-])n1,0,3059
[13*][C@H]1NC(=O)[C@@H]2COCCN12,0,7168
[3*]OS(=O)(=O)c1ccc(C)cc1,0,2840
[7*]=C1N=C(c2ccc(F)cc2)OC1=O,0,11462
[9*]n1cc([16*])c(=O)c2cc(F)c([16*])cc21,0,3928
[9*]n1cc([16*])c(=O)c2cc(F)c([16*])cc21,4,3791
[9*]n1cc([16*])c(=O)c2cc(F)c([16*])cc21,12,5222
[8*]CS(N)(=O)=O,0,1488
[16*]c1cc2c(c3oc(=O)c(C)c(C)c13)CCC(C)(C)O2,0,15912
[4*][C@H](C)CO,0,477
[16*]c1cn(C)c2ccccc12,0,796
[16*]c1cc([N+](=O)[O-])ccc1F,0,2077
[8*]CN1CCC[C@@H](C)C1,0,14161
[14*]c1csc2ncnn12,0,3234
[6*]C(=O)[C@H]([8*])C#N,0,501
[6*]C(=O)[C@H]([8*])C#N,4,985
[15*][C@H]1CCOC1=O,0,1988
[9*]n1cc([16*])c(=O)c2cc([N+](=O)[O-])c(Cl)cc21,0,38409
[9*]n1cc([16*])c(=O)c2cc([N+](=O)[O-])c(Cl)cc21,4,31782
[14*]c1nc2ccc([16*])cc2o1,0,244
[14*]c1nc2ccc([16*])cc2o1,7,1122
[5*]N[C@@H]1C[C@H]2CCCc3cccc1c32,0,3178
[9*]n1cnc(C)cc1=O,0,2235
[12*]S(=O)(=O)c1ccc([N+](=O)[O-])s1,0,5725
[5*]N1CCc2ccc(F)cc2[C@@H]1C,0,8143
[14*]c1cc(=O)n2c(n1)SC[C@@H]([15*])C2,0,4705
[14*]c1cc(=O)n2c(n1)SC[C@@H]([15*])C2,11,4748
[4*]C[C@H](C)C(N)=O,0,4624
[13*][C@@H]1Nc2c([16*])cccc2[C@H]2C=CC[C@H]12,0,1579
[13*][C@@H]1Nc2c([16*])cccc2[C@H]2C=CC[C@H]12,5,1470
[4*]C[C@]([4*])(C)C(N)=O,0,4624
[4*]C[C@]([4*])(C)C(N)=O,3,5046
[16*]c1c(Cl)ccc(Cl)c1Cl,0,3446
[5*]N1CCOC[C@@H]1C,0,755
[9*]n1nc2nc([14*])[n+]3c(c2c1O)CCCCC3,0,20256
[9*]n1nc2nc([14*])[n+]3c(c2c1O)CCCCC3,6,34229
[16*]c1ccc(F)c(N)c1,0,5762
[5*]N1CCS(=O)(=O)CC1,0,1081
[9*]n1c2ccccc2c2cn[nH]c(=O)c21,0,2966
[14*]c1csc(N)n1,0,1512
[8*]C([8*])C1=C(C)N=N[C@@H]1O,0,5448
[8*]C([8*])C1=C(C)N=N[C@@H]1O,2,5448
[16*]c1c(C)n[nH]c1[O-],0,5298
[9*]n1c(N/N=C(\C)c2ccccc2O)nc2c1c(=O)[nH]c(=O)n2C,0,35236
[5*]N1CCC[C@@H]2CCCC[C@@H]21,0,2138
